date,sla,ugosa,vgosa,err_ugosa,err_vgosa,adt,ugos,vgos
19930101,0.0094,0.0031000000000000003,-0.024300000000000002,0.0335,0.037200000000000004,0.3397,0.011000000000000001,-0.0402
19930102,0.0089,0.014,-0.033600000000000005,0.0339,0.0369,0.3392,0.022000000000000002,-0.0495
19930103,0.0074,0.0134,-0.0304,0.0344,0.037000000000000005,0.3376,0.021400000000000002,-0.046400000000000004
19930104,0.0054,0.0095,-0.0385,0.034800000000000005,0.0369,0.3357,0.017400000000000002,-0.054400000000000004
19930105,0.001,0.0154,-0.037200000000000004,0.0352,0.037000000000000005,0.3312,0.0233,-0.0531
19930106,0.001,0.013900000000000001,-0.027600000000000003,0.0356,0.0373,0.33130000000000004,0.0218,-0.043500000000000004
19930107,-0.0016,0.0005,-0.023100000000000002,0.0358,0.037700000000000004,0.3287,0.008400000000000001,-0.039
19930108,-0.0054,0.0083,0.0128,0.0361,0.038,0.3249,0.0162,-0.0031000000000000003
19930109,-0.0074,0.0044,0.01,0.0361,0.0376,0.32280000000000003,0.0123,-0.0059
19930110,-0.0083,0.0053,0.024800000000000003,0.0358,0.0375,0.322,0.0132,0.0089
19930111,-0.0103,0.0006000000000000001,0.0497,0.036000000000000004,0.0379,0.32,0.0085,0.033800000000000004
19930112,-0.0082,-0.0027,0.0539,0.0357,0.038,0.3221,0.0053,0.038
19930113,-0.005200000000000001,0.003,0.056900000000000006,0.035300000000000005,0.0379,0.3251,0.0109,0.041
19930114,-0.0047,-0.0016,0.0815,0.035,0.038,0.3256,0.0064,0.0656
19930115,-0.004200000000000001,-0.0258,0.0618,0.0345,0.038,0.3261,-0.0179,0.0459
19930116,-0.0038,-0.041,0.0751,0.034,0.038900000000000004,0.3265,-0.033,0.0592
19930117,-0.0007,-0.0543,0.07150000000000001,0.0335,0.0397,0.3295,-0.046400000000000004,0.055600000000000004
19930118,-0.0005,-0.061000000000000006,0.07730000000000001,0.0328,0.04,0.32980000000000004,-0.0531,0.0614
19930119,0.0005,-0.0465,0.060200000000000004,0.0318,0.0397,0.3307,-0.0386,0.0443
19930120,0.0034000000000000002,-0.0601,0.051300000000000005,0.031400000000000004,0.0403,0.3337,-0.0522,0.0354
19930121,0.0044,-0.07730000000000001,0.058600000000000006,0.0309,0.0409,0.3347,-0.0694,0.0427
19930122,0.0043,-0.0816,0.0546,0.0302,0.0409,0.3345,-0.0737,0.038700000000000005
19930123,0.0055000000000000005,-0.0816,0.0386,0.0297,0.041100000000000005,0.3357,-0.0736,0.0227
19930124,0.003,-0.09380000000000001,0.0247,0.028800000000000003,0.0408,0.33330000000000004,-0.0859,0.0088
19930125,0.004,-0.10790000000000001,0.015000000000000001,0.028300000000000002,0.040400000000000005,0.33430000000000004,-0.1,-0.0009000000000000001
19930126,0.002,-0.1034,0.019200000000000002,0.028300000000000002,0.04,0.3322,-0.0955,0.0033
19930127,0.00030000000000000003,-0.10200000000000001,0.007500000000000001,0.028300000000000002,0.0396,0.3306,-0.094,-0.008400000000000001
19930128,-0.00030000000000000003,-0.1072,-0.0064,0.0284,0.0393,0.33,-0.09920000000000001,-0.0223
19930129,-0.0011,-0.12250000000000001,0.0001,0.028800000000000003,0.038700000000000005,0.3292,-0.1145,-0.0158
19930130,-0.0028,-0.1297,-0.0023,0.029400000000000003,0.0383,0.3275,-0.1218,-0.0182
19930131,-0.0058000000000000005,-0.11320000000000001,-0.0095,0.030000000000000002,0.0379,0.3245,-0.1053,-0.025400000000000002
19930201,-0.007500000000000001,-0.1273,-0.0051,0.0308,0.0375,0.32280000000000003,-0.1194,-0.021
19930202,-0.011000000000000001,-0.1063,-0.0032,0.0315,0.037000000000000005,0.31930000000000003,-0.0984,-0.019100000000000002
19930203,-0.011000000000000001,-0.11560000000000001,-0.008400000000000001,0.0322,0.0366,0.31930000000000003,-0.1077,-0.024300000000000002
19930204,-0.014,-0.1052,-0.0019,0.0328,0.0363,0.3163,-0.09720000000000001,-0.0179
19930205,-0.0151,-0.0966,-0.0061,0.0333,0.0363,0.31520000000000004,-0.0887,-0.022000000000000002
19930206,-0.0155,-0.0854,0.0085,0.0339,0.036500000000000005,0.3148,-0.07740000000000001,-0.0074
19930207,-0.014700000000000001,-0.0903,-0.0041,0.0344,0.0369,0.3156,-0.0824,-0.02
19930208,-0.0149,-0.07,0.008400000000000001,0.034800000000000005,0.0369,0.3153,-0.062,-0.007500000000000001
19930209,-0.015600000000000001,-0.0627,-0.006500000000000001,0.035300000000000005,0.0369,0.31470000000000004,-0.0548,-0.0224
19930210,-0.0161,-0.0649,-0.0257,0.0357,0.0374,0.31420000000000003,-0.057,-0.041600000000000005
19930211,-0.0183,-0.042300000000000004,-0.021400000000000002,0.0358,0.0376,0.312,-0.0344,-0.0373
19930212,-0.0177,-0.0284,-0.038900000000000004,0.0359,0.0375,0.3125,-0.0205,-0.0548
19930213,-0.018500000000000003,-0.0074,-0.056100000000000004,0.0359,0.0376,0.31170000000000003,0.0006000000000000001,-0.07200000000000001
19930214,-0.0206,-0.009600000000000001,-0.0682,0.0359,0.0376,0.30970000000000003,-0.0017000000000000001,-0.08410000000000001
19930215,-0.0219,0.0055000000000000005,-0.0839,0.0358,0.0378,0.3084,0.0134,-0.0998
19930216,-0.023700000000000002,0.008400000000000001,-0.0746,0.0358,0.038200000000000005,0.30660000000000004,0.016300000000000002,-0.09050000000000001
19930217,-0.0238,0.007200000000000001,-0.0984,0.035500000000000004,0.0383,0.3064,0.0152,-0.1143
19930218,-0.029300000000000003,0.0184,-0.08850000000000001,0.035,0.038,0.301,0.0263,-0.1044
19930219,-0.0313,0.0063,-0.0786,0.0347,0.0381,0.299,0.0142,-0.0945
19930220,-0.0354,0.022500000000000003,-0.056,0.034300000000000004,0.038900000000000004,0.2949,0.0304,-0.0719
19930221,-0.038200000000000005,0.016300000000000002,-0.053700000000000005,0.033600000000000005,0.0391,0.2921,0.024200000000000003,-0.06960000000000001
19930222,-0.039900000000000005,0.012700000000000001,-0.0472,0.0327,0.0392,0.2904,0.0207,-0.0631
19930223,-0.0403,0.020800000000000003,-0.0328,0.031900000000000005,0.0396,0.2899,0.0287,-0.0487
19930224,-0.04,0.020900000000000002,-0.0297,0.031200000000000002,0.0402,0.2902,0.028900000000000002,-0.0456
19930225,-0.0402,0.028200000000000003,-0.0292,0.030600000000000002,0.040600000000000004,0.2901,0.0361,-0.0451
19930226,-0.042300000000000004,0.0298,-0.0132,0.0302,0.041,0.28800000000000003,0.037700000000000004,-0.0291
19930227,-0.0417,0.0345,-0.021400000000000002,0.029900000000000003,0.0414,0.28850000000000003,0.0424,-0.0373
19930228,-0.0419,0.024300000000000002,-0.0165,0.0287,0.0408,0.2884,0.0322,-0.0324
19930301,-0.0432,0.041800000000000004,-0.0014,0.0284,0.0405,0.2871,0.0497,-0.0173
19930302,-0.0417,0.055900000000000005,-0.003,0.0284,0.040400000000000005,0.2886,0.06380000000000001,-0.0189
19930303,-0.040100000000000004,0.061900000000000004,0.007200000000000001,0.0284,0.039900000000000005,0.2902,0.0699,-0.008700000000000001
19930304,-0.0408,0.0439,0.0047,0.0285,0.0393,0.28950000000000004,0.051800000000000006,-0.0112
19930305,-0.0405,0.0427,0.0041,0.028800000000000003,0.0386,0.2898,0.0506,-0.0118
19930306,-0.0405,0.0429,0.0111,0.029400000000000003,0.0383,0.2897,0.050800000000000005,-0.0048000000000000004
19930307,-0.039900000000000005,0.0459,0.0171,0.030000000000000002,0.037700000000000004,0.2904,0.0539,0.0012000000000000001
19930308,-0.0398,0.0539,0.0179,0.0307,0.0373,0.2904,0.061900000000000004,0.002
19930309,-0.0376,0.0505,0.0206,0.031400000000000004,0.037000000000000005,0.2927,0.0584,0.0047
19930310,-0.0366,0.0342,0.013600000000000001,0.032100000000000004,0.0367,0.2936,0.042100000000000005,-0.0023
19930311,-0.036500000000000005,0.0492,0.021400000000000002,0.0327,0.036500000000000005,0.2938,0.057100000000000005,0.0055000000000000005
19930312,-0.037000000000000005,0.051000000000000004,0.0233,0.0333,0.0364,0.2933,0.0589,0.0074
19930313,-0.0369,0.0419,0.0228,0.0339,0.0366,0.2934,0.049800000000000004,0.0068000000000000005
19930314,-0.0361,0.035,0.0262,0.0344,0.0369,0.2942,0.0429,0.0103
19930315,-0.036500000000000005,0.0257,0.006900000000000001,0.0349,0.0369,0.2937,0.0337,-0.009000000000000001
19930316,-0.039,0.0129,0.020200000000000003,0.0352,0.0369,0.2913,0.020800000000000003,0.0043
19930317,-0.038700000000000005,0.0063,0.0337,0.0356,0.0373,0.29150000000000004,0.0142,0.0178
19930318,-0.0359,0.0001,0.0396,0.0359,0.037700000000000004,0.2944,0.0081,0.023700000000000002
19930319,-0.0378,-0.0009000000000000001,0.0476,0.0361,0.0376,0.2924,0.007,0.0317
19930320,-0.038400000000000004,-0.0055000000000000005,0.0439,0.0359,0.0375,0.2918,0.0024000000000000002,0.028
19930321,-0.038200000000000005,-0.006,0.0408,0.0358,0.0378,0.2921,0.0019,0.024900000000000002
19930322,-0.038700000000000005,-0.0099,0.0219,0.0359,0.0378,0.29150000000000004,-0.002,0.006
19930323,-0.0388,-0.0073,0.0198,0.0356,0.038,0.29150000000000004,0.0006000000000000001,0.0039000000000000003
19930324,-0.0391,0.0102,0.0184,0.035300000000000005,0.0379,0.2912,0.0182,0.0025
19930325,-0.0393,0.0115,0.0085,0.035,0.038,0.29100000000000004,0.0195,-0.0074
19930326,-0.0395,0.0038,-0.0056,0.0345,0.0379,0.2908,0.0118,-0.021500000000000002
19930327,-0.040600000000000004,0.0092,-0.0081,0.0341,0.0386,0.2897,0.0172,-0.024
19930328,-0.0419,0.0033,-0.0164,0.0334,0.039400000000000004,0.2884,0.0112,-0.0323
19930329,-0.0424,0.0016,-0.030000000000000002,0.0328,0.0391,0.2878,0.0095,-0.0459
19930330,-0.0456,-0.007,-0.042300000000000004,0.032,0.0395,0.2846,0.0009000000000000001,-0.0582
19930331,-0.0487,-0.0082,-0.06720000000000001,0.0316,0.0408,0.2816,-0.00030000000000000003,-0.08310000000000001
19930401,-0.049300000000000004,-0.0055000000000000005,-0.06280000000000001,0.0308,0.040600000000000004,0.281,0.0025,-0.07880000000000001
19930402,-0.0524,-0.011000000000000001,-0.0606,0.030100000000000002,0.0408,0.27790000000000004,-0.0031000000000000003,-0.0765
19930403,-0.054400000000000004,-0.0148,-0.069,0.0297,0.041,0.27590000000000003,-0.006900000000000001,-0.0849
19930404,-0.056600000000000004,-0.0193,-0.0712,0.0287,0.0408,0.2736,-0.0114,-0.08710000000000001
19930405,-0.057100000000000005,-0.0403,-0.09630000000000001,0.028300000000000002,0.040400000000000005,0.2732,-0.0323,-0.11220000000000001
19930406,-0.0614,-0.0434,-0.08700000000000001,0.028300000000000002,0.040100000000000004,0.26880000000000004,-0.035500000000000004,-0.1029
19930407,-0.063,-0.0548,-0.0989,0.028300000000000002,0.0397,0.26730000000000004,-0.046900000000000004,-0.1148
19930408,-0.0656,-0.0682,-0.0844,0.0284,0.039400000000000004,0.2647,-0.060200000000000004,-0.1003
19930409,-0.065,-0.0641,-0.08310000000000001,0.028900000000000002,0.0386,0.26530000000000004,-0.056100000000000004,-0.099
19930410,-0.0659,-0.0659,-0.059500000000000004,0.029400000000000003,0.0386,0.2644,-0.058,-0.0755
19930411,-0.0678,-0.0711,-0.038900000000000004,0.030100000000000002,0.0379,0.2624,-0.0632,-0.0548
19930412,-0.0683,-0.07780000000000001,-0.0304,0.0308,0.0375,0.262,-0.0698,-0.046400000000000004
19930413,-0.0714,-0.0816,-0.0366,0.0315,0.037000000000000005,0.2589,-0.0737,-0.052500000000000005
19930414,-0.06720000000000001,-0.1047,-0.009000000000000001,0.0322,0.0366,0.2631,-0.09670000000000001,-0.024900000000000002
19930415,-0.0688,-0.0863,0.0045000000000000005,0.0327,0.0363,0.2615,-0.07830000000000001,-0.0114
